HomeTeam,AwayTeam,FTHG,FTAG
West Ham,Charlton,2,0
Leeds,Sunderland,2,0
Newcastle,Fulham,1,1
Blackburn,Chelsea,0,0
Aston Villa,Leeds,0,1
Charlton,Southampton,1,1
Derby,Newcastle,2,3
Everton,Leicester,2,2
Sunderland,Liverpool,0,1
Tottenham,West Ham,1,1
Bolton,Tottenham,1,1
Chelsea,Man United,0,3
Leeds,Fulham,0,1
Leicester,Aston Villa,2,2
Liverpool,Derby,2,0
Middlesbrough,Blackburn,1,3
Newcastle,Charlton,3,0
Southampton,Everton,0,1
West Ham,Sunderland,3,0
Arsenal,Ipswich,2,0
Blackburn,Newcastle,2,2
Fulham,Bolton,3,0
Arsenal,West Ham,2,0
Ipswich,Middlesbrough,1,0
Aston Villa,Southampton,2,1
Charlton,Sunderland,2,2
Derby,Leeds,0,1
Fulham,Leicester,0,0
Ipswich,Man United,0,1
Middlesbrough,Chelsea,0,2
Newcastle,West Ham,3,1
Tottenham,Liverpool,1,0
Everton,Blackburn,1,2
Bolton,Arsenal,0,2
Liverpool,Blackburn,4,3
Man United,Arsenal,0,1
Arsenal,Everton,4,3
Blackburn,Fulham,3,0
Chelsea,Aston Villa,1,3
Leeds,Middlesbrough,1,0
Leicester,Tottenham,2,1
Liverpool,Ipswich,5,0
Man United,Charlton,0,0
Southampton,Newcastle,3,1
Sunderland,Derby,1,1
West Ham,Bolton,2,1
